id,host_name,host_since,latitude,longitude,room_type,bathrooms,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,has_availability,availability_30,availability_60,availability_90,availability_365,x,y
8153715,South Kohala,11/10/2015,19.92110019,-155.8863575,Entire home/apt,2,2,3,458,,,$0.00 ,$268.00 ,1,$0.00 ,t,16,38,63,335,197822.9596,2205345.199
8153716,South Kohala,11/10/2015,19.91905039,-155.8863508,Entire home/apt,2,2,4,458,,,$0.00 ,$268.00 ,1,$0.00 ,t,18,26,29,265,197819.7611,2205118.136
8153717,South Kohala,11/10/2015,19.91937646,-155.8865872,Entire home/apt,2,2,2,482,,,$0.00 ,$268.00 ,1,$0.00 ,t,9,11,11,255,197795.616,2205154.679
8153796,South Kohala,11/10/2015,19.94297758,-155.8667399,Entire home/apt,2.5,2,3,1160,,,$0.00 ,$383.00 ,1,$0.00 ,t,17,28,46,47,199919.4537,2207733.291
8153797,South Kohala,11/10/2015,19.94263222,-155.8655118,Entire home/apt,2.5,2,2,1160,,,$0.00 ,$383.00 ,1,$0.00 ,t,19,25,36,231,200047.4368,2207692.84
8153798,South Kohala,11/10/2015,19.9411216,-155.8569015,Entire home/apt,3.5,3,4,1038,,,$0.00 ,$404.00 ,1,$0.00 ,t,21,51,76,77,200946.4655,2207510.141
8153800,South Kohala,11/10/2015,19.94049505,-155.8575763,Entire home/apt,3.5,3,4,855,,,$0.00 ,$404.00 ,1,$0.00 ,t,14,24,31,283,200874.6023,2207441.944
8153839,South Kohala,11/10/2015,19.94761679,-155.8561208,Entire home/apt,3,3,3,1832,,,$0.00 ,$513.00 ,1,$0.00 ,t,3,4,4,237,201040.4832,2208228.193
8153840,South Kohala,11/10/2015,19.943148,-155.8669619,Entire home/apt,2.5,2,4,1160,,,$0.00 ,$383.00 ,1,$0.00 ,t,19,32,46,303,199896.523,2207752.565
8153851,South Kohala,11/10/2015,19.9441412,-155.8655524,Entire home/apt,2.5,2,2,1160,,,$0.00 ,$383.00 ,1,$0.00 ,t,21,22,40,315,200046.0379,2207860.057
8153927,South Kohala,11/10/2015,19.94273864,-155.8669205,Entire home/apt,2.5,2,3,1038,,,$0.00 ,$383.00 ,1,$0.00 ,t,19,49,65,340,199900.0849,2207707.147
8153928,South Kohala,11/10/2015,19.94401743,-155.8657842,Entire home/apt,2.5,2,4,1038,,,$0.00 ,$383.00 ,1,$0.00 ,t,17,26,42,43,200021.5243,2207846.762
8153929,South Kohala,11/10/2015,19.94282529,-155.8668342,Entire home/apt,2.5,2,3,1160,,,$0.00 ,$383.00 ,1,$0.00 ,t,20,42,72,337,199909.2882,2207716.591
8153944,South Kohala,11/10/2015,19.94346341,-155.8660304,Entire home/apt,2.5,2,3,1038,,,$0.00 ,$383.00 ,1,$0.00 ,t,19,38,57,325,199994.6886,2207785.835
8153950,South Kohala,11/10/2015,19.94298519,-155.8654044,Entire home/apt,2.5,2,3,1160,,,$0.00 ,$383.00 ,1,$0.00 ,t,15,32,54,317,200059.3538,2207731.745
8153951,South Kohala,11/10/2015,19.94414952,-155.8654036,Entire home/apt,2,1,2,916,,,$0.00 ,$299.00 ,1,$0.00 ,t,14,16,19,253,200061.6395,2207860.712
8153959,South Kohala,11/10/2015,19.94331716,-155.8653218,Entire home/apt,2.5,2,3,1160,,,$0.00 ,$383.00 ,1,$0.00 ,t,16,23,32,253,200068.6334,2207768.368
8153976,South Kohala,11/10/2015,19.94298215,-155.865602,Entire home/apt,2.5,2,4,1038,,,$0.00 ,$383.00 ,1,$0.00 ,t,15,39,69,324,200038.6506,2207731.762
8153977,South Kohala,11/10/2015,19.94255796,-155.8674594,Entire home/apt,2.5,2,3,1160,,,$0.00 ,$383.00 ,1,$0.00 ,t,7,7,7,221,199843.2963,2207688.098
8153978,South Kohala,11/10/2015,19.94338898,-155.8670557,Entire home/apt,2,1,1,824,,,$0.00 ,$299.00 ,1,$0.00 ,t,14,24,30,282,199887.154,2207779.425
8153979,South Kohala,11/10/2015,19.9441302,-155.8675344,Entire home/apt,2,1,1,824,,,$0.00 ,$299.00 ,1,$0.00 ,t,11,14,19,235,199838.4159,2207862.384
8153980,South Kohala,11/10/2015,19.94406764,-155.8661877,Entire home/apt,2,1,2,916,,,$0.00 ,$299.00 ,1,$0.00 ,t,15,16,27,263,199979.3554,2207853.045
8153983,South Kohala,11/10/2015,19.94438273,-155.866951,Entire home/apt,2,1,2,916,,,$0.00 ,$299.00 ,1,$0.00 ,t,22,27,28,280,199900.001,2207889.312
8153996,South Kohala,11/10/2015,19.94314886,-155.8672506,Entire home/apt,2.5,2,4,1160,,,$0.00 ,$383.00 ,1,$0.00 ,t,10,27,41,310,199866.285,2207753.177
8153997,South Kohala,11/10/2015,19.94290589,-155.8662063,Entire home/apt,2.5,2,3,1160,,,$0.00 ,$383.00 ,1,$0.00 ,t,15,26,27,254,199975.2096,2207724.395
8165020,South Kohala,11/10/2015,19.94734038,-155.8555202,Entire home/apt,3.5,3,3,2198,,,$0.00 ,$513.00 ,1,$0.00 ,t,18,43,43,305,201102.8692,2208196.505
8169876,South Kohala,11/10/2015,19.92584653,-155.8801166,Entire home/apt,2,2,4,366,,,$0.00 ,$268.00 ,1,$0.00 ,t,14,26,39,298,198485.768,2205859.719
8761411,Angelisa,11/23/2014,20.0751322,-155.842864,Private room,1,1,1,98,$583.00 ,"$2,058.00 ",,$20.00 ,2,$0.00 ,t,6,19,34,294,202669.0194,2222328.889
11282346,Leslie,6/21/2012,19.43610129,-155.2465224,Entire home/apt,1,1,2,135,,,$100.00 ,$55.00 ,2,$0.00 ,t,24,52,82,357,264129.1719,2150621.508
11284137,Kai,2/16/2016,19.94863446,-155.8628369,Entire home/apt,5.5,5,7,3175,,,"$5,000.00 ",$850.00 ,1,$0.00 ,t,16,16,27,148,200338.9586,2208352.903
11342958,Lottie,6/23/2012,20.01606717,-155.6703507,Private room,1,1,1,88,,,,$25.00 ,2,$0.00 ,t,17,39,66,341,220617.7339,2215488.872
11698204,Annette,2/14/2016,20.02582003,-155.6756825,Entire home/apt,1,2,3,180,,,$500.00 ,$75.00 ,1,$0.00 ,t,13,34,52,224,220076.8708,2216577.953
12156307,Mary Kay,3/31/2016,20.03697481,-155.623442,Private room,1,1,1,80,$325.00 ,"$1,250.00 ",,$30.00 ,2,$15.00 ,t,22,28,43,43,225564.503,2217726.686
13060506,Phil,5/16/2016,20.02563162,-155.704288,Entire home/apt,1,0,3,76,,,$0.00 ,$25.00 ,2,$10.00 ,t,9,11,31,293,217082.1941,2216605.263
13065875,Daniela,8/29/2015,20.02678317,-155.7017992,Entire home/apt,1,1,3,115,,,,$70.00 ,2,$25.00 ,t,13,21,28,262,217344.7779,2216728.591
14427002,Keith,5/16/2016,20.10459319,-155.7865738,Entire home/apt,1,2,2,140,,,$250.00 ,,1,$0.00 ,t,4,4,5,232,208614.4958,2225492.625
14824206,Dustin,11/29/2015,20.02742496,-155.7234328,Private room,1,1,1,68,,,,$55.00 ,2,$25.00 ,t,21,50,77,339,215081.3759,2216836.418
