,user_id,longitude,latitude,date_taken,photo/video_page_url,x,y
0,10727420@N00,139.700499,35.674,2010-04-09 17:26:25.0,http://www.flickr.com/photos/10727420@N00/4545144774/,382697.113861872,3947813.3800141043
1,8819274@N04,139.76652099999998,35.709095,2007-02-10 16:08:40.0,http://www.flickr.com/photos/8819274@N04/2650331694/,388721.30958469916,3951629.0059135053
2,62068690@N00,139.765632,35.694482,2008-12-21 15:45:31.0,http://www.flickr.com/photos/62068690@N00/3125862684/,388620.5073121103,3950009.1730967225
3,49503094041@N01,139.784391,35.548589,2011-11-11 05:48:54.0,http://www.flickr.com/photos/49503094041@N01/6332937940/,390117.86733358755,3933806.0917445626
4,40443199@N00,139.768753,35.671521000000006,2006-04-06 16:42:49.0,http://www.flickr.com/photos/40443199@N00/2482548783/,388870.9734384201,3947458.8495140257
5,52465044@N00,139.64738799999998,35.548454,2009-01-20 20:33:36.0,http://www.flickr.com/photos/52465044@N00/3222494692/,377698.84196397197,3933952.951589548
6,28006645@N06,139.699037,35.674502000000004,2009-11-24 10:32:36.0,http://www.flickr.com/photos/28006645@N06/4147621454/,382565.5328366502,3947870.8123181546
7,53869907@N00,139.774675,35.626971000000005,2006-10-01 16:12:01.0,http://www.flickr.com/photos/53869907@N00/272362496/,389345.3617144129,3942510.80145388
8,71453924@N00,139.613662,35.662395000000004,2010-04-06 10:03:41.0,http://www.flickr.com/photos/71453924@N00/5407472178/,374819.71886343556,3946633.5951896645
9,67932864@N02,139.78873000000002,35.712963,2012-07-08 13:10:55.0,http://www.flickr.com/photos/67932864@N02/7526094756/,390735.7308697778,3952033.0158726433
10,39569656@N07,139.765942,35.635743,2012-08-10 04:06:16.0,http://www.flickr.com/photos/39569656@N07/9421313472/,388566.73350834433,3943493.650272128
11,71453924@N00,139.61961100000002,35.631611,2007-01-30 15:49:00.0,http://www.flickr.com/photos/71453924@N00/374495362/,375310.2691848386,3943211.4821031108
12,34106794@N00,139.700517,35.659737,2005-02-06 02:57:36.0,http://www.flickr.com/photos/34106794@N00/114353566/,382677.81994105194,3946231.331919813
13,57604326@N03,139.700699,35.685799,2012-03-28 22:36:20.0,http://www.flickr.com/photos/57604326@N03/7033642939/,382732.5264317461,3949121.8673284138
14,57102247@N05,139.61526899999998,35.611735,2012-08-18 20:02:16.0,http://www.flickr.com/photos/57102247@N05/8302157861/,374886.0477109291,3941012.3903677375
15,64165297@N00,139.707684,35.646764000000005,2009-11-11 13:16:59.0,http://www.flickr.com/photos/64165297@N00/4095054397/,383307.6654967338,3944783.839253883
